on1,dir1,pwm1,on2,dir2,pwm2
1,0.0,24.0,1,0,8.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,1.0,137.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,0.0,130.0,1,1,141.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
1,1.0,137.0,1,0,42.0
