"time","motor.phi","der(motor.phi)","motor.ve","motor.tau"
0,0,0,0,0
0.002,-3.19644e-7,-0.00038194,0.142846,0.241689
0.004,-1.5683e-6,-0.000866234,0.323972,0.240915
0.006,-3.78017e-6,-0.00134442,0.502814,0.237261
0.008,-6.94111e-6,-0.0018153,0.678922,0.233627
0.01,-1.10366e-5,-0.00227897,0.852333,0.230048
0.012,-1.60522e-5,-0.00273553,1.02309,0.226524
0.014,-2.19741e-5,-0.0031851,1.19123,0.223055
0.016,-2.87881e-5,-0.00362778,1.35679,0.219638
0.018,-3.64808e-5,-0.00406368,1.51982,0.216274
0.02,-4.50388e-5,-0.00449291,1.68035,0.212961
0.022,-5.44488e-5,-0.00491556,1.83842,0.209699
0.024,-6.46978e-5,-0.00533173,1.99407,0.206487
0.026,-7.5773e-5,-0.00574153,2.14733,0.203324
0.028,-8.76615e-5,-0.00614504,2.29825,0.20021
0.03,-0.000100351,-0.00654238,2.44685,0.197143
0.032,-0.000113829,-0.00693363,2.59318,0.194123
0.034,-0.000128083,-0.00731889,2.73727,0.19115
0.036,-0.000143102,-0.00769825,2.87915,0.188222
0.038,-0.000158874,-0.0080718,3.01885,0.185339
0.04,-0.000175387,-0.00843963,3.15642,0.1825
0.042,-0.00019263,-0.00880181,3.29188,0.179705
0.044,-0.000210592,-0.00915846,3.42526,0.176952
0.046,-0.000229262,-0.00950964,3.55661,0.174242
0.048,-0.000248628,-0.00985544,3.68594,0.171573
0.05,-0.000268681,-0.010196,3.81329,0.168945
0.052,-0.000289409,-0.0105312,3.93869,0.166357
0.054,-0.000310803,-0.0108614,4.06217,0.163809
0.056,-0.000332851,-0.0111865,4.18375,0.1613
0.058,-0.000355545,-0.0115066,4.30348,0.158829
0.06,-0.000378873,-0.0118219,4.42137,0.156396
0.062,-0.000402828,-0.0121322,4.53746,0.154
0.064,-0.000427399,-0.0124379,4.65177,0.151641
0.066,-0.000452576,-0.0127388,4.76433,0.149319
0.068,-0.00047835,-0.0130352,4.87516,0.147031
0.07,-0.000504713,-0.013327,4.9843,0.144779
0.072,-0.000531654,-0.0136143,5.09176,0.142561
0.074,-0.000559166,-0.0138973,5.19758,0.140378
0.076,-0.00058724,-0.0141759,5.30178,0.138227
0.078,-0.000615866,-0.0144502,5.40438,0.13611
0.08,-0.000645037,-0.0147203,5.50541,0.134025
0.082,-0.000674744,-0.0149863,5.60489,0.131972
0.084,-0.000704979,-0.0152483,5.70285,0.129951
0.086,-0.000735733,-0.0155062,5.79931,0.12796
0.088,-0.000767,-0.0157601,5.89429,0.126
0.09,-0.000798771,-0.0160102,5.98781,0.12407
0.092,-0.000831038,-0.0162564,6.07991,0.12217
0.094,-0.000863793,-0.0164989,6.17059,0.120298
0.096,-0.00089703,-0.0167377,6.25988,0.118456
0.098,-0.000930741,-0.0169727,6.34781,0.116641
0.1,-0.000964918,-0.0172042,6.43438,0.114855
0.102,-0.000999555,-0.0174322,6.51964,0.113095
0.104,-0.00103464,-0.0176566,6.60358,0.111363
0.106,-0.00107018,-0.0178777,6.68624,0.109657
0.108,-0.00110615,-0.0180953,6.76764,0.107977
0.11,-0.00114256,-0.0183096,6.84779,0.106323
0.112,-0.00117939,-0.0185206,6.92671,0.104695
0.114,-0.00121664,-0.0187284,7.00442,0.103091
0.116,-0.0012543,-0.018933,7.08094,0.101512
0.118,-0.00129237,-0.0191345,7.15629,0.0999571
0.12,-0.00133083,-0.0193328,7.23048,0.0984259
0.122,-0.0013697,-0.0195282,7.30354,0.0969183
0.124,-0.00140895,-0.0197205,7.37548,0.0954337
0.126,-0.00144858,-0.0199099,7.44631,0.0939719
0.128,-0.00148858,-0.0200964,7.51606,0.0925325
0.13,-0.00152896,-0.0202801,7.58475,0.0911152
0.132,-0.0015697,-0.0204609,7.65238,0.0897195
0.134,-0.0016108,-0.020639,7.71897,0.0883452
0.136,-0.00165226,-0.0208143,7.78455,0.086992
0.138,-0.00169406,-0.0209869,7.84912,0.0856595
0.14,-0.0017362,-0.0211569,7.9127,0.0843474
0.142,-0.00177868,-0.0213243,7.9753,0.0830554
0.144,-0.0018215,-0.0214892,8.03695,0.0817832
0.146,-0.00186464,-0.0216515,8.09766,0.0805305
0.148,-0.0019081,-0.0218113,8.15743,0.079297
0.15,-0.00195188,-0.0219687,8.21629,0.0780824
0.152,-0.00199598,-0.0221236,8.27424,0.0768864
0.154,-0.00204038,-0.0222762,8.33131,0.0757087
0.156,-0.00208508,-0.0224265,8.38751,0.074549
0.158,-0.00213008,-0.0225744,8.44284,0.0734071
0.16,-0.00217538,-0.0227201,8.49733,0.0722827
0.162,-0.00222096,-0.0228636,8.55098,0.0711755
0.164,-0.00226683,-0.0230048,8.60381,0.0700853
0.166,-0.00231298,-0.0231439,8.65583,0.0690117
0.168,-0.0023594,-0.0232809,8.70706,0.0679547
0.17,-0.0024061,-0.0234158,8.7575,0.0669138
0.172,-0.00245307,-0.0235486,8.80716,0.0658888
0.174,-0.00250029,-0.0236793,8.85607,0.0648796
0.176,-0.00254778,-0.0238081,8.90423,0.0638858
0.178,-0.00259552,-0.0239349,8.95165,0.0629072
0.18,-0.00264352,-0.0240597,8.99834,0.0619436
0.182,-0.00269176,-0.0241827,9.04432,0.0609948
0.184,-0.00274025,-0.0243037,9.08959,0.0600605
0.186,-0.00278898,-0.0244229,9.13417,0.0591405
0.188,-0.00283794,-0.0245403,9.17807,0.0582346
0.19,-0.00288714,-0.0246559,9.22129,0.0573426
0.192,-0.00293656,-0.0247697,9.26386,0.0564642
0.194,-0.00298621,-0.0248817,9.30577,0.0555993
0.196,-0.00303609,-0.0249921,9.34704,0.0547477
0.198,-0.00308618,-0.0251007,9.38768,0.0539091
0.2,-0.00313649,-0.0252077,9.42769,0.0530833
0.202,-0.00318701,-0.0253131,9.46709,0.0522702
0.204,-0.00323774,-0.0254168,9.50589,0.0514696
0.206,-0.00328868,-0.025519,9.54409,0.0506812
0.208,-0.00333981,-0.0256196,9.58171,0.0499049
0.21,-0.00339115,-0.0257186,9.61876,0.0491404
0.212,-0.00344269,-0.0258161,9.65523,0.0483877
0.214,-0.00349442,-0.0259122,9.69115,0.0476465
0.216,-0.00354633,-0.0260067,9.72651,0.0469167
0.218,-0.00359844,-0.0260998,9.76134,0.0461981
0.22,-0.00365073,-0.0261915,9.79563,0.0454904
0.222,-0.00370321,-0.0262818,9.82939,0.0447936
0.224,-0.00375586,-0.0263707,9.86264,0.0441075
0.226,-0.00380869,-0.0264582,9.89538,0.0434319
0.228,-0.00386169,-0.0265444,9.92762,0.0427666
0.23,-0.00391487,-0.0266293,9.95936,0.0421115
0.232,-0.00396821,-0.0267129,9.99062,0.0414665
0.234,-0.00402172,-0.0267952,10.0214,0.0408313
0.236,-0.00407539,-0.0268762,10.0517,0.0402059
0.238,-0.00412922,-0.026956,10.0815,0.03959
0.24,-0.00418321,-0.0270346,10.1109,0.0389836
0.242,-0.00423736,-0.027112,10.1399,0.0383864
0.244,-0.00429166,-0.0271881,10.1684,0.0377985
0.246,-0.00434611,-0.0272632,10.1964,0.0372195
0.248,-0.00440071,-0.027337,10.224,0.0366494
0.25,-0.00445546,-0.0274098,10.2513,0.036088
0.252,-0.00451035,-0.0274814,10.278,0.0355352
0.254,-0.00456538,-0.0275519,10.3044,0.0349909
0.256,-0.00462055,-0.0276214,10.3304,0.0344549
0.258,-0.00467587,-0.0276897,10.356,0.0339271
0.26,-0.00473131,-0.0277571,10.3811,0.0334074
0.262,-0.00478689,-0.0278234,10.4059,0.0328957
0.264,-0.00484261,-0.0278887,10.4304,0.0323918
0.266,-0.00489845,-0.0279529,10.4544,0.0318957
0.268,-0.00495442,-0.0280162,10.4781,0.0314071
0.27,-0.00501051,-0.0280786,10.5014,0.030926
0.272,-0.00506673,-0.02814,10.5243,0.0304523
0.274,-0.00512307,-0.0282004,10.5469,0.0299858
0.276,-0.00517953,-0.0282599,10.5692,0.0295265
0.278,-0.00523611,-0.0283185,10.5911,0.0290743
0.28,-0.0052928,-0.0283762,10.6127,0.0286289
0.282,-0.00534961,-0.028433,10.634,0.0281904
0.284,-0.00540654,-0.028489,10.6549,0.0277586
0.286,-0.00546357,-0.0285441,10.6755,0.0273334
0.288,-0.00552071,-0.0285983,10.6958,0.0269147
0.29,-0.00557796,-0.0286517,10.7157,0.0265024
0.292,-0.00563532,-0.0287043,10.7354,0.0260965
0.294,-0.00569278,-0.0287561,10.7548,0.0256968
0.296,-0.00575034,-0.0288071,10.7739,0.0253031
0.298,-0.00580801,-0.0288573,10.7926,0.0249156
0.3,-0.00586577,-0.0289068,10.8111,0.0245339
