time,angle,velocity,current
301,204.0,-158.77138032344777,-4.0836455
325,204.0,-197.46480624138644,-5.5352825
335,204.0,-169.21246350765344,-4.4795465000000005
346,204.0,-277.308383532371,-7.3388315
356,204.0,-218.96115397357462,-5.3446635
366,204.0,-298.1905499007824,-7.3388315
376,204.0,-227.55969306644985,-5.3153375
387,204.0,-300.0330939921128,-7.2801795
396,204.0,-228.1738744302267,-5.2860115
406,204.0,-300.64727535588963,-7.2801795
416,204.0,-239.2291389782092,-5.5206195000000005
427,204.0,-300.64727535588963,-7.250853500000001
437,204.0,-233.08732534044108,-5.3593265
447,204.0,-297.5763685370056,-7.2068645
457,204.0,-250.89858488996842,-5.6819125
466,204.0,-292.6629176267911,-7.1482125000000005
477,204.0,-256.4262171639597,-5.7992165
487,204.0,-282.2218344425855,-6.9722565
497,204.0,-257.6545798915133,-5.8725315
507,204.0,-271.7807512583798,-6.7523115
518,204.0,-279.7651089874783,-6.4297255
527,204.0,-267.4814817119422,-6.6350075
537,204.0,-284.6785598976927,-6.5177035000000005
547,204.0,-260.7254867103973,-6.4883775
558,204.0,-296.34800580945193,-6.7669745
568,204.0,-248.4418594348612,-6.253769500000001
578,204.0,-306.7890889936577,-7.1628755
588,204.0,-242.91422716086998,-6.0631505
599,204.0,-301.87563808344316,-7.104223500000001
608,204.0,-239.84332034198596,-6.0044985
618,204.0,-314.1592653589793,-7.441472500000001
628,204.0,-236.1582321593251,-5.8871945000000006
638,204.0,-314.1592653589793,-7.5001245
649,204.0,-230.01641852155709,-5.7259015
659,204.0,-314.1592653589793,-7.5001245
669,204.0,-224.48878624756586,-5.549945500000001
679,204.0,-314.1592653589793,-7.5001245
689,204.0,-220.18951670112818,-5.4473045
699,204.0,-314.1592653589793,-7.5001245
709,204.0,-218.3469726097978,-5.3739895
719,204.0,-314.1592653589793,-7.5001245
730,204.0,-212.20515897202975,-5.2126965
740,204.0,-314.1592653589793,-7.5001245
750,204.0,-207.90588942559214,-5.1247185
759,204.0,-314.1592653589793,-7.5001245
770,204.0,-207.29170806181534,-5.0220775
780,204.0,-314.1592653589793,-7.5001245
790,204.0,-202.9924385153777,-4.9047735
800,204.0,-314.1592653589793,-7.5001245
811,204.0,-201.76407578782408,-4.8314585
821,204.0,-314.1592653589793,-7.5001245
831,204.0,-203.6066198791545,-4.8167955000000005
840,204.0,-314.1592653589793,-7.5001245
850,204.0,-203.6066198791545,-4.7874695
861,204.0,-314.1592653589793,-7.5001245
871,204.0,-204.8349826067081,-4.7874695
881,204.0,-314.1592653589793,-7.5001245
891,204.0,-204.8349826067081,-4.772806500000001
902,204.0,-314.1592653589793,-7.5001245
911,204.0,-205.4491639704849,-4.7874695
921,204.0,-314.1592653589793,-7.5001245
931,204.0,-207.90588942559214,-4.7874695
942,204.0,-314.1592653589793,-7.5001245
952,204.0,-207.90588942559214,-4.7874695
962,204.0,-314.1592653589793,-7.5001245
972,204.0,-208.52007078936893,-4.8021325
982,204.0,-314.1592653589793,-7.5001245
992,204.0,-209.13425215314575,-4.8021325
1002,204.0,-314.1592653589793,-7.5001245
1012,204.0,-212.8193403358066,-4.8314585
1022,204.0,-314.1592653589793,-7.5001245
1033,204.0,-212.20515897202975,-4.846121500000001
1042,204.0,-314.1592653589793,-7.5001245
1052,204.0,-217.1186098822442,-4.919436500000001
1062,204.0,-314.1592653589793,-7.5001245
1073,204.0,-215.27606579091378,-4.8901105000000005
1083,204.0,-313.54508399520256,-7.5001245
1093,204.0,-216.50442851846742,-4.919436500000001
1103,204.0,-312.3167212676489,-7.5001245
1114,204.0,-221.41787942868186,-5.0220775
1123,204.0,-312.9309026314257,-7.5001245
1133,204.0,-216.50442851846742,-4.9487625
1143,204.0,-311.0883585400953,-7.5001245
1154,204.0,-221.41787942868186,-5.0367405000000005
1164,204.0,-311.70253990387204,-7.5001245
1174,204.0,-221.41787942868186,-5.0514035
1184,204.0,-309.85999581254174,-7.5001245
1193,204.0,-220.18951670112818,-5.0220775
1204,204.0,-309.24581444876486,-7.5001245
1214,204.0,-230.6305998853339,-5.2273595
1224,204.0,-310.4741771763185,-7.5001245
1234,204.0,-222.64624215623542,-5.0807295
1245,204.0,-307.40327035743445,-7.4561355
1255,204.0,-224.48878624756586,-5.1540445
1264,204.0,-307.40327035743445,-7.441472500000001
1274,204.0,-228.7880557940035,-5.256685500000001
1285,204.0,-306.17490762988086,-7.4268095
1295,204.0,-225.71714897511944,-5.1687075
1305,204.0,-304.9465449023273,-7.397483500000001
1315,204.0,-229.4022371577803,-5.2860115
1325,204.0,-304.9465449023273,-7.397483500000001
1335,204.0,-230.6305998853339,-5.2860115
1345,204.0,-304.33236353855045,-7.368157500000001
1355,204.0,-228.1738744302267,-5.2420225
1366,204.0,-303.71818217477363,-7.3388315
1376,204.0,-234.31568806799476,-5.4179785
1386,204.0,-301.87563808344316,-7.3095055
1396,204.0,-231.24478124911067,-5.3446635
1405,204.0,-299.418912628336,-7.250853500000001
1416,204.0,-232.4731439766643,-5.3739895
1426,204.0,-301.26145671966646,-7.2801795
1436,204.0,-245.3709526159772,-5.6085975
1446,204.0,-300.64727535588963,-7.2361905
1457,204.0,-238.00077625065552,-5.4179785
1467,204.0,-292.04873626301435,-7.1335495
1476,204.0,-257.04039852773644,-5.8138795000000005
1486,204.0,-285.2927412614695,-7.0015825000000005
1497,204.0,-263.18221216550455,-6.0044985
1507,204.0,-279.7651089874783,-6.884278500000001
1517,204.0,-261.9538494379509,-5.9898355
1527,204.0,-268.09566307571896,-6.664333500000001
1537,204.0,-282.8360158063623,-6.5177035000000005
1548,204.0,-239.84332034198596,-6.0484875
1558,204.0,-309.24581444876486,-7.2655165
1568,204.0,-236.77241352310196,-5.960509500000001
1579,204.0,-311.70253990387204,-7.4121465
1588,204.0,-229.4022371577803,-5.769890500000001
1598,204.0,-314.1592653589793,-7.5001245
1608,204.0,-226.9455117026731,-5.6819125
1618,204.0,-314.1592653589793,-7.5001245
1629,204.0,-223.26042352001227,-5.5206195000000005
1639,204.0,-314.1592653589793,-7.5001245
1649,204.0,-218.96115397357462,-5.3886525
1659,204.0,-314.1592653589793,-7.5001245
1669,204.0,-212.8193403358066,-5.256685500000001
1679,204.0,-314.1592653589793,-7.5001245
1689,204.0,-209.74843351692252,-5.1393815
1699,204.0,-314.1592653589793,-7.5001245
1710,204.0,-204.8349826067081,-5.0367405000000005
