time,angle,velocity,current
301,204.0,-42.07692120585488,-2.5586935
530,204.0,-182.72445351074313,-5.5792715
540,204.0,-154.4721107770101,-4.2889275
549,204.0,-280.37929035125507,-7.5001245
560,204.0,-220.803698064905,-5.330000500000001
570,204.0,-305.56072626610404,-7.5001245
580,204.0,-223.87460488378903,-5.1833705000000005
590,204.0,-308.0174517212113,-7.5001245
601,204.0,-233.08732534044108,-5.3446635
610,204.0,-310.4741771763185,-7.5001245
620,204.0,-237.38659488687875,-5.3593265
630,204.0,-310.4741771763185,-7.5001245
641,204.0,-238.61495761443237,-5.4326415
651,204.0,-308.0174517212113,-7.4561355
661,204.0,-245.3709526159772,-5.5792715
671,204.0,-309.24581444876486,-7.441472500000001
680,204.0,-247.21349670730763,-5.623260500000001
691,204.0,-309.24581444876486,-7.4854615
701,204.0,-247.82767807108442,-5.6379235
711,204.0,-308.6316330849881,-7.4121465
721,204.0,-249.05604079863804,-5.696575500000001
732,204.0,-304.9465449023273,-7.3828205
742,204.0,-251.51276625374524,-5.7845535
751,204.0,-306.17490762988086,-7.4121465
761,204.0,-255.1978544364061,-5.8285425
772,204.0,-306.7890889936577,-7.3388315
782,204.0,-258.2687612552901,-5.9018575
792,204.0,-304.33236353855045,-7.3534945
802,204.0,-260.11130534662055,-5.9458465
812,204.0,-303.71818217477363,-7.3534945
822,204.0,-263.18221216550455,-6.033824500000001
832,204.0,-304.33236353855045,-7.3095055
842,204.0,-268.7098444394958,-6.0778135
852,204.0,-303.1040008109968,-7.2801795
863,204.0,-292.6629176267911,-6.591018500000001
873,204.0,-274.85165807726383,-6.7963005
883,204.0,-296.9621871732288,-6.9282675000000005
893,204.0,-265.6389376206117,-6.6496705
903,204.0,-298.1905499007824,-7.0602345
913,204.0,-261.33966807417414,-6.5323665
923,204.0,-300.0330939921128,-7.1335495
933,204.0,-254.5836730726293,-6.400399500000001
944,204.0,-300.64727535588963,-7.250853500000001
954,204.0,-246.5993153435308,-6.2684325
963,204.0,-302.48981944722004,-7.368157500000001
973,204.0,-241.68586443331634,-6.1657915
984,204.0,-304.9465449023273,-7.5001245
994,204.0,-241.07168306953957,-6.1218025
1004,204.0,-306.7890889936577,-7.5001245
1014,204.0,-233.70150670421793,-5.9311835
1024,204.0,-309.85999581254174,-7.4121465
1034,204.0,-234.31568806799476,-5.8725315
1044,204.0,-314.1592653589793,-7.5001245
1054,204.0,-227.55969306644985,-5.6525865
1064,204.0,-314.1592653589793,-7.5001245
1075,204.0,-225.10296761134265,-5.5792715
1085,204.0,-314.1592653589793,-7.5001245
1094,204.0,-222.03206079245862,-5.4912935
1104,204.0,-314.1592653589793,-7.5001245
1115,204.0,-215.27606579091378,-5.256685500000001
1125,204.0,-314.1592653589793,-7.5001245
1135,204.0,-209.13425215314575,-5.1540445
1145,204.0,-314.1592653589793,-7.5001245
1156,204.0,-204.2208012429313,-5.0514035
1166,204.0,-314.1592653589793,-7.5001245
1175,204.0,-207.29170806181534,-5.0367405000000005
1185,204.0,-314.1592653589793,-7.5001245
1196,204.0,-204.2208012429313,-4.9340995
1206,204.0,-314.1592653589793,-7.5001245
1216,204.0,-203.6066198791545,-4.919436500000001
1226,204.0,-314.1592653589793,-7.5001245
1236,204.0,-204.2208012429313,-4.8901105000000005
1247,204.0,-314.1592653589793,-7.5001245
1257,204.0,-206.67752669803852,-4.8754475
1266,204.0,-314.1592653589793,-7.5001245
1278,204.0,-219.57533533735142,-4.9780885
1289,204.0,-312.3167212676489,-7.5001245
1299,204.0,-221.41787942868186,-5.0514035
1308,204.0,-313.54508399520256,-7.5001245
1318,204.0,-223.87460488378903,-5.0807295
1329,204.0,-312.3167212676489,-7.5001245
1339,204.0,-225.10296761134265,-5.0953925
1349,204.0,-312.3167212676489,-7.5001245
1359,204.0,-225.71714897511944,-5.1247185
1369,204.0,-312.3167212676489,-7.5001245
1379,204.0,-225.71714897511944,-5.1100555000000005
1389,204.0,-311.70253990387204,-7.5001245
1399,204.0,-226.9455117026731,-5.1393815
1410,204.0,-310.4741771763185,-7.5001245
1420,204.0,-228.1738744302267,-5.2273595
1430,204.0,-309.24581444876486,-7.5001245
1439,204.0,-228.7880557940035,-5.2273595
1449,204.0,-309.24581444876486,-7.5001245
1460,204.0,-230.01641852155709,-5.2420225
1470,204.0,-307.40327035743445,-7.4561355
1480,204.0,-232.4731439766643,-5.330000500000001
1490,204.0,-306.17490762988086,-7.4268095
1501,204.0,-237.38659488687875,-5.4326415
1510,204.0,-308.0174517212113,-7.4268095
1520,204.0,-244.75677125220042,-5.5939345000000005
1530,204.0,-306.7890889936577,-7.441472500000001
1541,204.0,-245.3709526159772,-5.6379235
1551,204.0,-307.40327035743445,-7.3828205
1561,204.0,-247.21349670730763,-5.696575500000001
1570,204.0,-304.33236353855045,-7.3534945
1581,204.0,-250.28440352619165,-5.7552275
1591,204.0,-304.33236353855045,-7.3388315
1601,204.0,-253.35531034507565,-5.8285425
1611,204.0,-303.71818217477363,-7.3095055
1622,204.0,-254.5836730726293,-5.9018575
1632,204.0,-303.1040008109968,-7.3095055
1641,204.0,-257.6545798915133,-5.960509500000001
1651,204.0,-300.0330939921128,-7.2801795
1661,204.0,-265.02475625683496,-6.0484875
1672,204.0,-297.5763685370056,-7.2655165
1682,204.0,-273.6232953497102,-6.2684325
1692,204.0,-292.6629176267911,-7.1335495
1702,204.0,-282.2218344425855,-6.4883775
1712,204.0,-282.2218344425855,-7.030908500000001
1722,204.0,-289.5920108079072,-6.6496705
1732,204.0,-277.9225648961479,-6.8696155
1742,204.0,-294.5054617181216,-6.8402895
1753,204.0,-268.7098444394958,-6.7523115
1762,204.0,-297.5763685370056,-7.0162455
1772,204.0,-263.18221216550455,-6.6056815
1783,204.0,-306.17490762988086,-7.3095055
1794,204.0,-239.84332034198596,-6.0924765
1803,204.0,-309.24581444876486,-7.5001245
1813,204.0,-236.77241352310196,-5.9898355
1823,204.0,-312.9309026314257,-7.5001245
1835,204.0,-209.74843351692252,-5.1833705000000005
1845,204.0,-314.1592653589793,-7.5001245
1855,204.0,-206.0633453342617,-5.0953925
1865,204.0,-313.54508399520256,-7.5001245
1875,204.0,-204.8349826067081,-4.8901105000000005
1886,204.0,-314.1592653589793,-7.5001245
1896,204.0,-206.0633453342617,-4.846121500000001
1906,204.0,-314.1592653589793,-7.5001245
1916,204.0,-205.4491639704849,-4.846121500000001
1926,204.0,-312.9309026314257,-7.5001245
1936,204.0,-209.74843351692252,-4.8901105000000005
1946,204.0,-314.1592653589793,-7.5001245
1956,204.0,-210.9767962444761,-4.8901105000000005
1967,204.0,-314.1592653589793,-7.5001245
1977,204.0,-210.36261488069934,-4.8754475
1987,204.0,-314.1592653589793,-7.5001245
1996,204.0,-210.9767962444761,-4.8754475
2007,204.0,-314.1592653589793,-7.5001245
2017,204.0,-214.66188442713695,-4.9047735
2027,204.0,-314.1592653589793,-7.5001245
2037,204.0,-216.50442851846742,-4.9340995
2048,204.0,-314.1592653589793,-7.5001245
2058,204.0,-220.18951670112818,-4.9487625
2067,204.0,-314.1592653589793,-7.5001245
2077,204.0,-223.87460488378903,-5.0220775
2087,204.0,-314.1592653589793,-7.5001245
2098,204.0,-227.55969306644985,-5.0660665
2108,204.0,-314.1592653589793,-7.5001245
2118,204.0,-230.6305998853339,-5.1687075
2128,204.0,-314.1592653589793,-7.5001245
2138,204.0,-235.54405079554832,-5.2273595
2148,204.0,-314.1592653589793,-7.5001245
2158,204.0,-238.61495761443237,-5.3006745
2168,204.0,-313.54508399520256,-7.5001245
2179,204.0,-221.41787942868186,-5.0514035
2189,204.0,-310.4741771763185,-7.5001245
2199,204.0,-222.03206079245862,-5.0953925
2208,204.0,-309.85999581254174,-7.5001245
2219,204.0,-238.00077625065552,-5.3886525
2229,204.0,-311.70253990387204,-7.5001245
2239,204.0,-233.08732534044108,-5.2860115
2249,204.0,-308.6316330849881,-7.470798500000001
2259,204.0,-227.55969306644985,-5.2126965
2270,204.0,-307.40327035743445,-7.4561355
2279,204.0,-231.24478124911067,-5.3006745
2289,204.0,-307.40327035743445,-7.441472500000001
