time,angle,velocity,current
302,204.0,-94.28233712688328,-3.2185285
508,204.0,-170.44082623520703,-4.9047735
519,204.0,-193.77971805872562,-5.4473045
529,204.0,-269.3240258032726,-7.294842500000001
538,204.0,-256.4262171639597,-6.4883775
548,204.0,-304.33236353855045,-7.5001245
559,204.0,-270.5523885308262,-6.5616925
569,204.0,-304.9465449023273,-7.5001245
579,204.0,-276.0800208048174,-6.620344500000001
588,204.0,-312.3167212676489,-7.5001245
599,204.0,-279.7651089874783,-6.6056815
609,204.0,-312.3167212676489,-7.5001245
619,204.0,-280.37929035125507,-6.591018500000001
629,204.0,-306.7890889936577,-7.5001245
640,204.0,-282.2218344425855,-6.6789965
650,204.0,-311.70253990387204,-7.5001245
660,204.0,-275.46583944104066,-6.6496705
669,204.0,-311.70253990387204,-7.5001245
679,204.0,-281.60765307880865,-6.6496705
690,204.0,-312.9309026314257,-7.5001245
700,204.0,-279.7651089874783,-6.6056815
710,204.0,-306.7890889936577,-7.5001245
720,204.0,-284.0643785339159,-6.7229855
730,204.0,-303.71818217477363,-7.5001245
740,204.0,-279.1509276237015,-6.6496705
750,204.0,-309.85999581254174,-7.5001245
760,204.0,-284.0643785339159,-6.7229855
771,204.0,-309.85999581254174,-7.5001245
781,204.0,-278.53674625992466,-6.620344500000001
791,204.0,-311.0883585400953,-7.5001245
800,204.0,-283.45019717013906,-6.7229855
811,204.0,-310.4741771763185,-7.5001245
821,204.0,-280.37929035125507,-6.6350075
831,204.0,-308.6316330849881,-7.5001245
841,204.0,-280.37929035125507,-6.6789965
850,204.0,-309.85999581254174,-7.5001245
861,204.0,-284.6785598976927,-6.7816375
871,204.0,-311.70253990387204,-7.5001245
881,204.0,-286.52110398902306,-6.7669745
891,204.0,-310.4741771763185,-7.470798500000001
902,204.0,-288.9778294441303,-6.7963005
912,204.0,-303.71818217477363,-7.470798500000001
921,204.0,-284.6785598976927,-6.7816375
931,204.0,-306.7890889936577,-7.4854615
942,204.0,-285.9069226252463,-6.7963005
952,204.0,-308.0174517212113,-7.470798500000001
962,204.0,-284.6785598976927,-6.7669745
972,204.0,-310.4741771763185,-7.5001245
982,204.0,-290.8203735354607,-6.8402895
992,204.0,-308.0174517212113,-7.4854615
1002,204.0,-290.20619217168394,-6.8402895
1012,204.0,-301.87563808344316,-7.3388315
1022,204.0,-284.6785598976927,-6.737648500000001
1033,204.0,-301.26145671966646,-7.397483500000001
1043,204.0,-287.7494667165767,-6.810963500000001
1052,204.0,-300.0330939921128,-7.3534945
1062,204.0,-291.4345548992376,-6.884278500000001
1073,204.0,-297.5763685370056,-7.294842500000001
1083,204.0,-290.8203735354607,-6.8696155
1093,204.0,-293.89128035434476,-7.2361905
1103,204.0,-304.9465449023273,-7.2801795
1113,204.0,-292.04873626301435,-7.1188865
1123,204.0,-302.48981944722004,-7.1628755
1133,204.0,-285.9069226252463,-7.0455715
1143,204.0,-302.48981944722004,-7.177538500000001
1154,204.0,-288.9778294441303,-7.0748975000000005
1164,204.0,-304.9465449023273,-7.250853500000001
1173,204.0,-281.60765307880865,-6.9136045
1183,204.0,-304.9465449023273,-7.250853500000001
1193,204.0,-283.45019717013906,-6.9136045
1204,204.0,-306.7890889936577,-7.3095055
1214,204.0,-285.2927412614695,-6.957593500000001
1224,204.0,-311.0883585400953,-7.4121465
1233,204.0,-283.45019717013906,-6.884278500000001
1244,204.0,-314.1592653589793,-7.470798500000001
1254,204.0,-280.9934717150319,-6.8256265
1264,204.0,-313.54508399520256,-7.5001245
