time,angle,velocity,current
302,204.0,-101.65251349220495,-3.2625175
500,204.0,-163.0706498698854,-4.7288175
510,204.0,-189.480448512288,-5.3446635
521,204.0,-266.25311898438855,-7.250853500000001
531,204.0,-256.4262171639597,-6.5323665
540,204.0,-298.1905499007824,-7.5001245
550,204.0,-269.93820716704937,-6.5177035000000005
561,204.0,-306.17490762988086,-7.5001245
571,204.0,-276.0800208048174,-6.547029500000001
581,204.0,-307.40327035743445,-7.4854615
591,204.0,-281.60765307880865,-6.620344500000001
602,204.0,-305.56072626610404,-7.4854615
612,204.0,-288.3636480803535,-6.7669745
621,204.0,-300.0330939921128,-7.3388315
631,204.0,-288.9778294441303,-6.810963500000001
642,204.0,-295.1196430818984,-7.250853500000001
652,204.0,-287.7494667165767,-6.7963005
662,204.0,-293.277098990568,-7.250853500000001
672,204.0,-299.418912628336,-7.0895605
681,204.0,-290.8203735354607,-7.177538500000001
692,204.0,-300.0330939921128,-7.0602345
702,204.0,-288.3636480803535,-7.0895605
712,204.0,-304.9465449023273,-7.2215275000000005
722,204.0,-285.2927412614695,-6.9722565
733,204.0,-308.6316330849881,-7.324168500000001
743,204.0,-284.0643785339159,-6.9282675000000005
753,204.0,-309.85999581254174,-7.3095055
762,204.0,-280.37929035125507,-6.8696155
773,204.0,-308.6316330849881,-7.4121465
783,204.0,-277.308383532371,-6.7816375
793,204.0,-309.85999581254174,-7.4268095
803,204.0,-277.9225648961479,-6.7669745
814,204.0,-312.3167212676489,-7.5001245
824,204.0,-276.0800208048174,-6.7083225
834,204.0,-313.54508399520256,-7.5001245
843,204.0,-273.0091139859334,-6.6350075
854,204.0,-314.1592653589793,-7.5001245
864,204.0,-273.0091139859334,-6.6056815
874,204.0,-312.3167212676489,-7.5001245
884,204.0,-270.5523885308262,-6.5616925
894,204.0,-314.1592653589793,-7.5001245
905,204.0,-267.4814817119422,-6.473714500000001
915,204.0,-314.1592653589793,-7.5001245
924,204.0,-269.3240258032726,-6.4590515
934,204.0,-314.1592653589793,-7.5001245
945,204.0,-269.3240258032726,-6.473714500000001
955,204.0,-314.1592653589793,-7.5001245
965,204.0,-270.5523885308262,-6.4590515
975,204.0,-314.1592653589793,-7.5001245
986,204.0,-270.5523885308262,-6.4590515
995,204.0,-314.1592653589793,-7.5001245
1005,204.0,-271.16656989460296,-6.4443885000000005
1015,204.0,-314.1592653589793,-7.5001245
1026,204.0,-273.0091139859334,-6.4443885000000005
1036,204.0,-314.1592653589793,-7.5001245
1046,204.0,-274.85165807726383,-6.4590515
1055,204.0,-310.4741771763185,-7.5001245
1065,204.0,-272.3949326221566,-6.4883775
1076,204.0,-314.1592653589793,-7.5001245
1086,204.0,-274.85165807726383,-6.473714500000001
1096,204.0,-314.1592653589793,-7.5001245
1106,204.0,-269.93820716704937,-6.3710735000000005
1117,204.0,-314.1592653589793,-7.5001245
1127,204.0,-275.46583944104066,-6.5030405
1137,204.0,-313.54508399520256,-7.5001245
1147,204.0,-276.0800208048174,-6.4883775
1158,204.0,-308.0174517212113,-7.5001245
1167,204.0,-277.9225648961479,-6.5616925
1177,204.0,-314.1592653589793,-7.5001245
1187,204.0,-279.1509276237015,-6.5177035000000005
1198,204.0,-314.1592653589793,-7.5001245
1208,204.0,-280.37929035125507,-6.5616925
1218,204.0,-314.1592653589793,-7.5001245
1228,204.0,-280.37929035125507,-6.5763555
1238,204.0,-313.54508399520256,-7.5001245
1248,204.0,-280.37929035125507,-6.6056815
1258,204.0,-313.54508399520256,-7.5001245
1268,204.0,-281.60765307880865,-6.6056815
1278,204.0,-313.54508399520256,-7.5001245
1289,204.0,-280.37929035125507,-6.5763555
1299,204.0,-312.3167212676489,-7.5001245
1308,203.704,-271.7807512583798,-6.4150625
1318,204.0,-311.70253990387204,-7.5001245
1329,204.0,-274.85165807726383,-6.4883775
1339,204.0,-309.85999581254174,-7.5001245
1349,204.0,-272.3949326221566,-6.4590515
1359,204.0,-309.85999581254174,-7.5001245
1369,204.0,-273.6232953497102,-6.5030405
1379,204.0,-310.4741771763185,-7.5001245
1389,204.0,-273.6232953497102,-6.4883775
1399,204.0,-311.0883585400953,-7.5001245
1410,204.0,-285.2927412614695,-6.7669745
1420,204.0,-306.17490762988086,-7.470798500000001
1430,204.0,-267.4814817119422,-6.400399500000001
1439,204.0,-309.24581444876486,-7.5001245
1449,204.0,-279.7651089874783,-6.664333500000001
1460,204.0,-309.85999581254174,-7.5001245
1470,204.0,-279.1509276237015,-6.6056815
1480,204.0,-309.85999581254174,-7.5001245
1490,204.0,-276.69420216859424,-6.6056815
1501,204.0,-307.40327035743445,-7.4854615
1510,204.0,-279.1509276237015,-6.6496705
1520,204.0,-304.9465449023273,-7.5001245
1530,204.0,-287.1352853527999,-6.810963500000001
1541,204.0,-303.1040008109968,-7.4268095
1551,204.0,-290.20619217168394,-6.8989415
1561,204.0,-295.1196430818984,-7.250853500000001
1571,204.0,-290.20619217168394,-6.8989415
1581,204.0,-293.277098990568,-7.2655165
1591,204.0,-291.4345548992376,-6.957593500000001
1601,204.0,-295.1196430818984,-7.2215275000000005
1611,204.0,-295.7338244456752,-7.0455715
1622,204.0,-288.9778294441303,-7.1335495
1632,204.0,-298.1905499007824,-7.1335495
1642,204.0,-279.7651089874783,-6.9869195
1651,204.0,-306.7890889936577,-7.3388315
1661,204.0,-285.2927412614695,-7.0162455
1672,204.0,-306.17490762988086,-7.324168500000001
1682,204.0,-282.8360158063623,-6.957593500000001
1692,204.0,-301.26145671966646,-7.2655165
1702,204.0,-282.8360158063623,-6.9429305
1712,204.0,-309.24581444876486,-7.441472500000001
1722,204.0,-275.46583944104066,-6.737648500000001
1732,204.0,-308.0174517212113,-7.5001245
1742,204.0,-277.308383532371,-6.8402895
1753,204.0,-304.9465449023273,-7.4268095
1763,204.0,-274.85165807726383,-6.7669745
1773,204.0,-307.40327035743445,-7.5001245
1783,204.0,-267.4814817119422,-6.5763555
1793,204.0,-309.24581444876486,-7.5001245
1803,204.0,-271.16656989460296,-6.6056815
1813,204.0,-314.1592653589793,-7.5001245
1823,204.0,-273.0091139859334,-6.6056815
1833,204.0,-314.1592653589793,-7.5001245
1844,204.0,-271.16656989460296,-6.5616925
1854,204.0,-314.1592653589793,-7.5001245
1863,204.0,-268.09566307571896,-6.5177035000000005
1873,204.0,-314.1592653589793,-7.5001245
1884,204.0,-270.5523885308262,-6.5030405
1894,204.0,-314.1592653589793,-7.5001245
1904,204.0,-271.16656989460296,-6.4590515
1914,204.0,-314.1592653589793,-7.5001245
1925,204.0,-269.93820716704937,-6.4590515
1934,204.0,-314.1592653589793,-7.5001245
1944,204.0,-270.5523885308262,-6.473714500000001
1954,204.0,-312.3167212676489,-7.5001245
1965,204.0,-271.7807512583798,-6.473714500000001
1975,204.0,-314.1592653589793,-7.5001245
1985,204.0,-271.16656989460296,-6.4443885000000005
1995,204.0,-314.1592653589793,-7.5001245
2006,204.0,-271.7807512583798,-6.4443885000000005
2015,204.0,-312.9309026314257,-7.5001245
2025,204.0,-271.7807512583798,-6.473714500000001
2035,204.0,-314.1592653589793,-7.5001245
2045,204.0,-272.3949326221566,-6.473714500000001
2056,204.0,-313.54508399520256,-7.5001245
2066,204.0,-267.4814817119422,-6.3710735000000005
2076,204.0,-312.3167212676489,-7.5001245
2086,204.0,-273.0091139859334,-6.4883775
2096,204.0,-314.1592653589793,-7.5001245
2106,204.0,-276.0800208048174,-6.5030405
2116,204.0,-311.70253990387204,-7.5001245
2126,204.0,-276.69420216859424,-6.5323665
2137,204.0,-309.85999581254174,-7.5001245
2147,204.0,-276.69420216859424,-6.5177035000000005
2157,204.0,-312.3167212676489,-7.5001245
2166,204.0,-278.53674625992466,-6.591018500000001
2177,204.0,-314.1592653589793,-7.5001245
2187,204.0,-275.46583944104066,-6.473714500000001
2197,204.0,-314.1592653589793,-7.5001245
2207,204.0,-277.308383532371,-6.5030405
2217,204.0,-310.4741771763185,-7.5001245
2228,204.0,-280.37929035125507,-6.591018500000001
2238,204.0,-312.9309026314257,-7.5001245
2247,204.0,-279.7651089874783,-6.591018500000001
2257,204.0,-307.40327035743445,-7.5001245
2268,204.0,-280.9934717150319,-6.6496705
2278,204.0,-312.9309026314257,-7.5001245
2288,204.0,-281.60765307880865,-6.6350075
2298,204.0,-310.4741771763185,-7.5001245
2309,204.0,-281.60765307880865,-6.6789965
2319,204.0,-311.0883585400953,-7.5001245
2328,204.0,-282.8360158063623,-6.6496705
2338,204.0,-312.3167212676489,-7.5001245
2349,204.0,-282.2218344425855,-6.6056815
2359,204.0,-311.70253990387204,-7.5001245
2369,204.0,-284.0643785339159,-6.7083225
2379,204.0,-304.9465449023273,-7.470798500000001
2390,204.0,-283.45019717013906,-6.7523115
2399,203.704,-306.7890889936577,-7.4854615
2409,204.0,-284.6785598976927,-6.7523115
2419,204.0,-310.4741771763185,-7.5001245
2429,204.0,-284.6785598976927,-6.7523115
2440,204.0,-308.6316330849881,-7.5001245
2450,204.0,-285.9069226252463,-6.7083225
2460,204.0,-303.71818217477363,-7.397483500000001
2469,204.0,-290.20619217168394,-6.8256265
2480,204.0,-308.0174517212113,-7.5001245
2490,204.0,-292.6629176267911,-6.8549525000000004
2500,204.0,-303.71818217477363,-7.397483500000001
2510,204.0,-293.89128035434476,-6.8989415
2521,204.0,-293.277098990568,-7.2215275000000005
2531,204.0,-300.0330939921128,-7.0895605
2541,204.0,-293.89128035434476,-7.2215275000000005
2550,204.0,-301.26145671966646,-7.1482125000000005
2561,204.0,-290.8203735354607,-7.1482125000000005
2571,204.0,-303.1040008109968,-7.2068645
2581,204.0,-288.3636480803535,-7.0748975000000005
2591,204.0,-301.26145671966646,-7.2361905
2601,204.0,-285.9069226252463,-7.0602345
2612,204.0,-299.418912628336,-7.2068645
2621,204.0,-281.60765307880865,-6.9282675000000005
2631,204.0,-309.24581444876486,-7.441472500000001
2641,204.0,-281.60765307880865,-6.9136045
2652,204.0,-304.33236353855045,-7.3534945
2662,204.0,-279.1509276237015,-6.8696155
2672,204.0,-304.9465449023273,-7.3828205
2682,204.0,-269.93820716704937,-6.6789965
2692,204.0,-312.9309026314257,-7.5001245
2702,204.0,-276.69420216859424,-6.7669745
2712,204.0,-313.54508399520256,-7.5001245
2722,204.0,-276.0800208048174,-6.6936595
2733,204.0,-314.1592653589793,-7.5001245
2743,204.0,-273.6232953497102,-6.6350075
2753,204.0,-314.1592653589793,-7.5001245
