time,angle,velocity,current
301,204.0,-144.64520895658126,-3.8783635000000003
329,204.0,-112.09359667641061,-3.2185285
338,204.0,-269.3240258032726,-7.5001245
349,204.0,-193.16553669494883,-4.8314585
359,204.0,-304.9465449023273,-7.5001245
369,204.0,-207.29170806181534,-4.8021325
379,204.0,-312.3167212676489,-7.5001245
390,204.0,-212.20515897202975,-4.8167955000000005
400,204.0,-311.0883585400953,-7.5001245
410,204.0,-213.43352169958337,-4.8607845
419,204.0,-312.3167212676489,-7.5001245
430,204.0,-214.66188442713695,-4.8607845
440,204.0,-311.0883585400953,-7.5001245
450,204.0,-215.27606579091378,-4.8901105000000005
460,204.0,-309.24581444876486,-7.5001245
471,204.0,-216.50442851846742,-4.919436500000001
481,204.0,-308.6316330849881,-7.5001245
490,204.0,-217.1186098822442,-4.9487625
500,204.0,-309.85999581254174,-7.5001245
510,204.0,-218.96115397357462,-4.9780885
521,204.0,-308.0174517212113,-7.470798500000001
531,204.0,-218.96115397357462,-4.992751500000001
541,204.0,-306.7890889936577,-7.4561355
551,204.0,-220.18951670112818,-5.0514035
561,204.0,-306.17490762988086,-7.441472500000001
571,204.0,-222.03206079245862,-5.0807295
581,204.0,-305.56072626610404,-7.397483500000001
591,204.0,-222.64624215623542,-5.0807295
602,204.0,-303.71818217477363,-7.368157500000001
612,204.0,-225.10296761134265,-5.1833705000000005
622,204.0,-303.71818217477363,-7.368157500000001
631,204.0,-225.71714897511944,-5.1687075
642,204.0,-303.71818217477363,-7.3534945
652,204.0,-226.33133033889624,-5.1980335
662,204.0,-300.64727535588963,-7.2655165
672,204.0,-227.55969306644985,-5.2273595
683,204.0,-300.64727535588963,-7.250853500000001
693,204.0,-233.08732534044108,-5.3153375
703,204.0,-301.26145671966646,-7.2655165
712,204.0,-234.31568806799476,-5.3446635
722,204.0,-295.1196430818984,-7.1922015
733,204.0,-247.21349670730763,-5.5646085
743,204.0,-290.20619217168394,-7.0748975000000005
753,204.0,-257.6545798915133,-5.7845535
763,204.0,-279.1509276237015,-6.8696155
774,204.0,-264.41057489305814,-5.9898355
783,204.0,-274.23747671348707,-6.7523115
793,204.0,-283.45019717013906,-6.400399500000001
803,204.0,-264.41057489305814,-6.5763555
814,204.0,-292.6629176267911,-6.664333500000001
824,204.0,-255.1978544364061,-6.3710735000000005
834,204.0,-296.34800580945193,-6.7963005
844,204.0,-248.4418594348612,-6.2391065
854,204.0,-301.87563808344316,-6.9722565
864,204.0,-241.07168306953957,-6.107139500000001
874,204.0,-305.56072626610404,-7.177538500000001
884,204.0,-236.77241352310196,-5.9751725
894,204.0,-310.4741771763185,-7.3095055
905,204.0,-232.4731439766643,-5.8285425
915,204.0,-314.1592653589793,-7.5001245
924,204.0,-230.6305998853339,-5.7405645000000005
934,204.0,-314.1592653589793,-7.5001245
945,204.0,-223.87460488378903,-5.5792715
955,204.0,-314.1592653589793,-7.5001245
965,204.0,-218.96115397357462,-5.4179785
975,204.0,-314.1592653589793,-7.5001245
986,204.0,-218.96115397357462,-5.3886525
995,204.0,-314.1592653589793,-7.5001245
1005,204.0,-213.43352169958337,-5.2273595
1015,204.0,-314.1592653589793,-7.5001245
1026,204.0,-207.90588942559214,-5.1687075
1036,204.0,-314.1592653589793,-7.5001245
1046,204.0,-206.67752669803852,-5.0953925
1056,204.0,-314.1592653589793,-7.5001245
1065,204.0,-202.37825715160088,-4.992751500000001
1076,204.0,-314.1592653589793,-7.5001245
1086,204.0,-199.92153169649367,-4.8901105000000005
1096,204.0,-314.1592653589793,-7.5001245
1106,204.0,-197.46480624138644,-4.772806500000001
1117,204.0,-314.1592653589793,-7.5001245
1127,204.0,-198.07898760516326,-4.7288175
1136,204.0,-314.1592653589793,-7.5001245
1146,204.0,-198.07898760516326,-4.7288175
1157,204.0,-314.1592653589793,-7.5001245
1167,204.0,-197.46480624138644,-4.699491500000001
1177,204.0,-314.1592653589793,-7.5001245
1187,204.0,-198.69316896894003,-4.6848285
1197,204.0,-314.1592653589793,-7.5001245
1207,204.0,-199.30735033271685,-4.6701655
1217,204.0,-314.1592653589793,-7.5001245
1227,204.0,-200.53571306027044,-4.6701655
1238,204.0,-314.1592653589793,-7.5001245
1248,204.0,-203.6066198791545,-4.699491500000001
1258,204.0,-314.1592653589793,-7.5001245
1268,204.0,-203.6066198791545,-4.6848285
1277,204.0,-314.1592653589793,-7.5001245
1288,204.0,-205.4491639704849,-4.699491500000001
1298,204.0,-314.1592653589793,-7.5001245
1308,204.0,-206.0633453342617,-4.699491500000001
1318,204.0,-314.1592653589793,-7.5001245
1329,204.0,-208.52007078936893,-4.7141545
1339,204.0,-314.1592653589793,-7.5001245
1348,204.0,-209.74843351692252,-4.7581435
1358,204.0,-313.54508399520256,-7.5001245
1369,204.0,-210.36261488069934,-4.772806500000001
1379,204.0,-312.9309026314257,-7.5001245
1389,204.0,-212.20515897202975,-4.8167955000000005
1399,204.0,-313.54508399520256,-7.5001245
1410,204.0,-212.8193403358066,-4.8314585
1419,204.0,-312.3167212676489,-7.5001245
1429,204.0,-215.27606579091378,-4.8607845
1439,204.0,-312.3167212676489,-7.5001245
1449,204.0,-215.89024715469057,-4.8901105000000005
1460,204.0,-311.70253990387204,-7.5001245
1470,204.0,-215.27606579091378,-4.9047735
1480,204.0,-311.70253990387204,-7.5001245
1489,204.0,-215.89024715469057,-4.9047735
1500,204.0,-309.85999581254174,-7.5001245
1510,204.0,-217.1186098822442,-4.9487625
1520,204.0,-308.6316330849881,-7.470798500000001
1530,204.0,-218.96115397357462,-4.992751500000001
1541,204.0,-308.6316330849881,-7.4854615
1551,204.0,-219.57533533735142,-4.9780885
1560,204.0,-307.40327035743445,-7.470798500000001
1570,204.0,-220.803698064905,-5.0220775
1581,204.0,-305.56072626610404,-7.4268095
1591,204.0,-220.803698064905,-5.0514035
1601,204.0,-306.17490762988086,-7.4121465
1611,204.0,-222.64624215623542,-5.0807295
1622,204.0,-304.33236353855045,-7.3828205
1632,204.0,-225.10296761134265,-5.1687075
1641,204.0,-303.1040008109968,-7.3534945
1651,204.0,-225.71714897511944,-5.1687075
1661,204.0,-304.33236353855045,-7.3388315
1672,204.0,-226.9455117026731,-5.1833705000000005
1682,204.0,-301.87563808344316,-7.294842500000001
1692,204.0,-228.7880557940035,-5.2273595
1702,204.0,-301.87563808344316,-7.294842500000001
1712,204.0,-228.7880557940035,-5.256685500000001
1722,204.0,-300.64727535588963,-7.2655165
1732,204.0,-231.24478124911067,-5.3153375
1742,204.0,-300.0330939921128,-7.250853500000001
1753,204.0,-231.85896261288752,-5.3446635
1763,204.0,-298.1905499007824,-7.1922015
1773,204.0,-243.5284085246468,-5.476630500000001
1783,204.0,-284.0643785339159,-7.0162455
1793,204.0,-252.1269476175221,-5.769890500000001
1803,204.0,-282.2218344425855,-6.9282675000000005
1813,204.0,-262.56803080172773,-5.9751725
1823,204.0,-273.0091139859334,-6.7523115
1833,204.0,-274.85165807726383,-6.2830955
1844,204.0,-265.6389376206117,-6.5763555
1853,204.0,-284.6785598976927,-6.5030405
1863,204.0,-256.4262171639597,-6.4150625
1873,204.0,-293.89128035434476,-6.7523115
1884,204.0,-250.28440352619165,-6.253769500000001
1894,204.0,-298.1905499007824,-6.8696155
1904,204.0,-244.1425898884236,-6.1657915
1913,204.0,-304.33236353855045,-7.0748975000000005
1924,204.0,-239.2291389782092,-6.033824500000001
1934,204.0,-313.54508399520256,-7.324168500000001
1944,204.0,-234.92986943177152,-5.9311835
1954,204.0,-313.54508399520256,-7.4121465
1965,204.0,-230.6305998853339,-5.7992165
1975,204.0,-314.1592653589793,-7.5001245
1984,204.0,-226.9455117026731,-5.7112385
1994,204.0,-314.1592653589793,-7.5001245
2004,204.0,-222.64624215623542,-5.5939345000000005
2015,204.0,-314.1592653589793,-7.5001245
2025,204.0,-217.1186098822442,-5.3739895
2035,204.0,-314.1592653589793,-7.5001245
2045,204.0,-215.89024715469057,-5.3446635
2055,204.0,-314.1592653589793,-7.5001245
2065,204.0,-212.8193403358066,-5.256685500000001
2075,204.0,-314.1592653589793,-7.5001245
2085,204.0,-206.0633453342617,-5.1100555000000005
2096,204.0,-314.1592653589793,-7.5001245
2106,204.0,-201.76407578782408,-4.992751500000001
2116,204.0,-314.1592653589793,-7.5001245
2125,204.0,-201.76407578782408,-4.9487625
2136,204.0,-314.1592653589793,-7.5001245
2146,204.0,-199.30735033271685,-4.8607845
2156,204.0,-314.1592653589793,-7.5001245
2166,204.0,-198.07898760516326,-4.7581435
2177,204.0,-314.1592653589793,-7.5001245
2187,204.0,-198.07898760516326,-4.7288175
2196,204.0,-314.1592653589793,-7.5001245
2206,204.0,-195.62226215005603,-4.699491500000001
2216,204.0,-314.1592653589793,-7.5001245
2227,204.0,-198.69316896894003,-4.699491500000001
2237,204.0,-314.1592653589793,-7.5001245
2247,204.0,-199.30735033271685,-4.6848285
2257,204.0,-314.1592653589793,-7.5001245
2267,204.0,-199.92153169649367,-4.699491500000001
2277,204.0,-314.1592653589793,-7.5001245
2287,204.0,-202.37825715160088,-4.6848285
2297,204.0,-314.1592653589793,-7.5001245
2308,204.0,-202.37825715160088,-4.6701655
2318,204.0,-314.1592653589793,-7.5001245
2328,204.0,-204.2208012429313,-4.6848285
2337,204.0,-314.1592653589793,-7.5001245
2348,204.0,-204.8349826067081,-4.699491500000001
2358,204.0,-314.1592653589793,-7.5001245
2368,204.0,-207.90588942559214,-4.7288175
2378,204.0,-314.1592653589793,-7.5001245
2388,204.0,-208.52007078936893,-4.7434805
2399,204.0,-314.1592653589793,-7.5001245
2408,204.0,-209.74843351692252,-4.7434805
2418,204.0,-314.1592653589793,-7.5001245
2428,204.0,-210.9767962444761,-4.772806500000001
2439,204.0,-314.1592653589793,-7.5001245
2449,204.0,-212.20515897202975,-4.8167955000000005
2459,204.0,-314.1592653589793,-7.5001245
2469,204.0,-212.8193403358066,-4.8314585
2479,204.0,-312.9309026314257,-7.5001245
2489,204.0,-214.0477030633602,-4.846121500000001
2499,204.0,-312.9309026314257,-7.5001245
2509,204.0,-214.0477030633602,-4.8607845
2520,204.0,-309.85999581254174,-7.5001245
2530,204.0,-215.27606579091378,-4.8901105000000005
2540,204.0,-311.0883585400953,-7.5001245
2549,204.0,-215.89024715469057,-4.919436500000001
2560,204.0,-311.0883585400953,-7.5001245
2570,204.0,-217.73279124602098,-4.9634255000000005
2580,204.0,-309.85999581254174,-7.5001245
2590,204.0,-218.96115397357462,-4.9634255000000005
2600,204.0,-309.24581444876486,-7.5001245
2611,204.0,-219.57533533735142,-4.992751500000001
2620,204.0,-308.0174517212113,-7.470798500000001
2630,204.0,-220.18951670112818,-5.0220775
2640,204.0,-306.7890889936577,-7.441472500000001
2651,204.0,-222.64624215623542,-5.0660665
2661,204.0,-305.56072626610404,-7.4121465
2671,204.0,-225.10296761134265,-5.1393815
2681,204.0,-305.56072626610404,-7.397483500000001
2691,204.0,-224.48878624756586,-5.1393815
2701,204.0,-304.9465449023273,-7.3828205
2711,204.0,-225.71714897511944,-5.1687075
2721,204.0,-303.71818217477363,-7.368157500000001
2732,204.0,-225.71714897511944,-5.1833705000000005
2742,204.0,-303.1040008109968,-7.324168500000001
2752,204.0,-227.55969306644985,-5.2126965
2762,204.0,-301.26145671966646,-7.294842500000001
2771,204.0,-228.7880557940035,-5.2713485
2782,204.0,-301.26145671966646,-7.2801795
2792,204.0,-229.4022371577803,-5.2713485
2802,204.0,-300.64727535588963,-7.250853500000001
2812,204.0,-230.6305998853339,-5.3153375
2823,204.0,-298.8047312645592,-7.250853500000001
2832,204.0,-235.54405079554832,-5.3593265
2842,204.0,-297.5763685370056,-7.1922015
2852,204.0,-244.75677125220042,-5.5352825
2863,204.0,-289.5920108079072,-7.0895605
2873,204.0,-257.04039852773644,-5.7992165
2883,204.0,-276.69420216859424,-6.8256265
2893,204.0,-266.8673003481654,-6.0631505
2903,204.0,-271.16656989460296,-6.6936595
2913,204.0,-277.308383532371,-6.3124215
2923,204.0,-262.56803080172773,-6.5323665
2933,204.0,-286.52110398902306,-6.5616925
2944,204.0,-256.4262171639597,-6.4150625
2954,204.0,-292.6629176267911,-6.7083225
2964,204.0,-249.05604079863804,-6.2684325
2973,204.0,-298.1905499007824,-6.8696155
2983,204.0,-238.61495761443237,-5.9751725
2994,204.0,-308.6316330849881,-7.2068645
3004,204.0,-238.61495761443237,-6.0191615
3014,204.0,-310.4741771763185,-7.2801795
3024,204.0,-232.4731439766643,-5.8432055
3035,204.0,-314.1592653589793,-7.5001245
3044,204.0,-228.7880557940035,-5.7405645000000005
3054,204.0,-314.1592653589793,-7.5001245
3064,204.0,-225.10296761134265,-5.623260500000001
3075,204.0,-314.1592653589793,-7.5001245
3085,204.0,-221.41787942868186,-5.549945500000001
3095,204.0,-314.1592653589793,-7.5001245
3104,204.0,-218.3469726097978,-5.4179785
3115,204.0,-314.1592653589793,-7.5001245
3125,204.0,-214.0477030633602,-5.2860115
3135,204.0,-314.1592653589793,-7.5001245
3145,204.0,-209.74843351692252,-5.1833705000000005
3155,204.0,-314.1592653589793,-7.5001245
3166,204.0,-206.67752669803852,-5.0660665
3176,204.0,-314.1592653589793,-7.5001245
3185,204.0,-202.37825715160088,-4.992751500000001
3195,204.0,-314.1592653589793,-7.5001245
3206,204.0,-200.53571306027044,-4.9047735
3216,204.0,-314.1592653589793,-7.5001245
3226,204.0,-198.69316896894003,-4.8314585
3236,204.0,-314.1592653589793,-7.5001245
3246,204.0,-198.07898760516326,-4.7581435
3256,204.0,-314.1592653589793,-7.5001245
3266,204.0,-197.46480624138644,-4.7141545
3276,204.0,-314.1592653589793,-7.5001245
3287,204.0,-198.07898760516326,-4.6848285
3297,204.0,-314.1592653589793,-7.5001245
3307,204.0,-198.69316896894003,-4.699491500000001
3317,204.0,-314.1592653589793,-7.5001245
3326,204.0,-200.53571306027044,-4.6848285
3337,204.0,-314.1592653589793,-7.5001245
3347,204.0,-201.14989442404726,-4.6701655
3357,204.0,-314.1592653589793,-7.5001245
3367,204.0,-202.37825715160088,-4.6701655
3378,204.0,-314.1592653589793,-7.5001245
3388,204.0,-204.2208012429313,-4.699491500000001
3398,204.0,-314.1592653589793,-7.5001245
3407,204.0,-206.0633453342617,-4.7141545
3418,204.0,-314.1592653589793,-7.5001245
3428,204.0,-207.29170806181534,-4.7141545
3438,204.0,-314.1592653589793,-7.5001245
3448,204.0,-208.52007078936893,-4.7434805
3459,204.0,-314.1592653589793,-7.5001245
3469,204.0,-212.20515897202975,-4.8021325
3478,204.0,-314.1592653589793,-7.5001245
3488,204.0,-211.59097760825296,-4.8021325
3499,204.0,-314.1592653589793,-7.5001245
3509,204.0,-212.20515897202975,-4.8167955000000005
3519,204.0,-313.54508399520256,-7.5001245
3529,204.0,-213.43352169958337,-4.8314585
3539,204.0,-312.3167212676489,-7.5001245
3549,204.0,-214.66188442713695,-4.846121500000001
3559,204.0,-312.9309026314257,-7.5001245
3569,204.0,-214.66188442713695,-4.8607845
3579,204.0,-309.85999581254174,-7.5001245
3590,204.0,-215.89024715469057,-4.919436500000001
3600,204.0,-310.4741771763185,-7.5001245
3610,204.0,-215.89024715469057,-4.919436500000001
3619,204.0,-309.85999581254174,-7.5001245
3630,204.0,-218.3469726097978,-4.9780885
3640,204.0,-309.24581444876486,-7.5001245
3650,204.0,-219.57533533735142,-4.9634255000000005
3660,204.0,-309.85999581254174,-7.470798500000001
3671,204.0,-220.18951670112818,-5.0074145
3681,204.0,-307.40327035743445,-7.441472500000001
3690,204.0,-220.18951670112818,-5.0367405000000005
3700,204.0,-306.7890889936577,-7.441472500000001
3710,204.0,-222.64624215623542,-5.0807295
3721,204.0,-305.56072626610404,-7.397483500000001
3731,204.0,-224.48878624756586,-5.1393815
3741,204.0,-304.9465449023273,-7.397483500000001
3751,204.0,-224.48878624756586,-5.1393815
3761,204.0,-304.9465449023273,-7.368157500000001
3771,204.0,-226.33133033889624,-5.1833705000000005
3781,204.0,-303.71818217477363,-7.3534945
3791,204.0,-224.48878624756586,-5.1540445
3802,204.0,-302.48981944722004,-7.324168500000001
3812,204.0,-226.9455117026731,-5.2273595
3821,204.0,-301.87563808344316,-7.3095055
3831,204.0,-228.1738744302267,-5.2420225
3842,204.0,-301.26145671966646,-7.294842500000001
3852,204.0,-229.4022371577803,-5.2713485
3862,204.0,-300.0330939921128,-7.250853500000001
3872,204.0,-231.24478124911067,-5.3153375
3883,204.0,-299.418912628336,-7.2361905
3892,204.0,-234.31568806799476,-5.3593265
3902,204.0,-296.9621871732288,-7.1922015
3912,204.0,-245.3709526159772,-5.5206195000000005
3922,204.0,-293.89128035434476,-7.1628755
3933,204.0,-253.35531034507565,-5.6819125
3943,204.0,-279.7651089874783,-6.8989415
3953,204.0,-265.02475625683496,-6.033824500000001
3962,204.0,-273.6232953497102,-6.7523115
3973,204.0,-277.9225648961479,-6.2977585000000005
3983,204.0,-263.18221216550455,-6.5323665
3993,204.0,-285.9069226252463,-6.5616925
4003,204.0,-255.1978544364061,-6.400399500000001
4014,204.0,-298.1905499007824,-6.8402895
4024,204.0,-246.5993153435308,-6.2391065
4033,204.0,-301.26145671966646,-6.9869195
4043,204.0,-240.45750170576275,-6.0484875
4054,204.0,-309.24581444876486,-7.250853500000001
4064,204.0,-236.77241352310196,-5.9458465
4074,204.0,-314.1592653589793,-7.4268095
4084,204.0,-232.4731439766643,-5.8285425
4094,204.0,-314.1592653589793,-7.5001245
4104,204.0,-228.1738744302267,-5.7112385
4114,204.0,-314.1592653589793,-7.5001245
4124,204.0,-222.03206079245862,-5.5059565
4134,204.0,-314.1592653589793,-7.5001245
4145,204.0,-218.3469726097978,-5.403315500000001
4155,204.0,-314.1592653589793,-7.5001245
4165,204.0,-215.89024715469057,-5.3446635
4175,204.0,-314.1592653589793,-7.5001245
4185,204.0,-212.20515897202975,-5.2126965
4195,204.0,-314.1592653589793,-7.5001245
4205,204.0,-208.52007078936893,-5.1247185
4215,204.0,-314.1592653589793,-7.5001245
4226,204.0,-200.53571306027044,-4.9340995
4236,204.0,-314.1592653589793,-7.5001245
4245,204.0,-199.92153169649367,-4.9047735
4255,204.0,-314.1592653589793,-7.5001245
4265,204.0,-198.69316896894003,-4.8314585
4276,204.0,-314.1592653589793,-7.5001245
4286,204.0,-197.46480624138644,-4.7581435
4296,204.0,-314.1592653589793,-7.5001245
4306,204.0,-197.46480624138644,-4.7288175
4317,204.0,-314.1592653589793,-7.5001245
4326,204.0,-198.07898760516326,-4.7141545
4336,204.0,-314.1592653589793,-7.5001245
4346,204.0,-198.69316896894003,-4.699491500000001
4357,204.0,-314.1592653589793,-7.5001245
4367,204.0,-199.92153169649367,-4.6701655
4377,204.0,-314.1592653589793,-7.5001245
4387,204.0,-203.6066198791545,-4.6848285
4398,204.0,-314.1592653589793,-7.5001245
