time,angle,velocity,current
302,204.0,-45.14782802473893,-2.6026825000000002
507,204.0,-193.77971805872562,-5.8871945000000006
517,204.0,-142.18848350147402,-4.0249935
527,204.0,-285.9069226252463,-7.5001245
537,204.0,-194.39389942250244,-4.7434805
547,204.0,-309.24581444876486,-7.5001245
558,204.0,-204.2208012429313,-4.7288175
568,204.0,-313.54508399520256,-7.5001245
578,204.0,-208.52007078936893,-4.7581435
587,204.0,-313.54508399520256,-7.5001245
598,204.0,-210.9767962444761,-4.772806500000001
608,204.0,-313.54508399520256,-7.5001245
618,204.0,-212.20515897202975,-4.7874695
628,204.0,-313.54508399520256,-7.5001245
638,204.0,-213.43352169958337,-4.8314585
649,204.0,-312.3167212676489,-7.5001245
659,204.0,-214.0477030633602,-4.8607845
668,204.0,-311.70253990387204,-7.5001245
678,204.0,-215.89024715469057,-4.8754475
689,204.0,-311.0883585400953,-7.5001245
699,204.0,-217.1186098822442,-4.919436500000001
709,204.0,-310.4741771763185,-7.5001245
719,204.0,-217.1186098822442,-4.9340995
730,204.0,-308.6316330849881,-7.5001245
739,204.0,-217.73279124602098,-4.9634255000000005
749,204.0,-309.85999581254174,-7.5001245
759,204.0,-218.96115397357462,-4.992751500000001
770,204.0,-308.6316330849881,-7.4854615
780,204.0,-220.18951670112818,-5.0074145
790,204.0,-307.40327035743445,-7.441472500000001
800,204.0,-220.18951670112818,-5.0367405000000005
809,204.0,-306.17490762988086,-7.441472500000001
820,204.0,-222.03206079245862,-5.0807295
830,204.0,-305.56072626610404,-7.397483500000001
840,204.0,-223.87460488378903,-5.1247185
850,204.0,-304.9465449023273,-7.368157500000001
861,204.0,-224.48878624756586,-5.1393815
871,204.0,-303.1040008109968,-7.3388315
880,204.0,-226.33133033889624,-5.1980335
890,204.0,-302.48981944722004,-7.3095055
901,204.0,-227.55969306644985,-5.2273595
911,204.0,-301.87563808344316,-7.294842500000001
921,204.0,-228.7880557940035,-5.2420225
931,204.0,-301.26145671966646,-7.2655165
941,204.0,-229.4022371577803,-5.2713485
951,204.0,-299.418912628336,-7.2361905
961,204.0,-231.24478124911067,-5.3446635
971,204.0,-298.8047312645592,-7.2215275000000005
982,204.0,-236.77241352310196,-5.3739895
992,204.0,-296.34800580945193,-7.177538500000001
1002,204.0,-247.82767807108442,-5.5792715
1011,204.0,-284.6785598976927,-7.0015825000000005
1021,204.0,-258.8829426190669,-5.8578685
1032,204.0,-278.53674625992466,-6.8696155
1042,204.0,-268.09566307571896,-6.0778135
1052,204.0,-268.7098444394958,-6.6350075
1062,204.0,-279.7651089874783,-6.3710735000000005
1073,204.0,-260.7254867103973,-6.4883775
1082,204.0,-287.1352853527999,-6.591018500000001
1092,204.0,-250.89858488996842,-6.2977585000000005
1102,204.0,-300.64727535588963,-6.9136045
1113,204.0,-240.45750170576275,-6.0924765
1123,204.0,-306.17490762988086,-7.2068645
1133,204.0,-234.31568806799476,-5.9018575
1143,204.0,-313.54508399520256,-7.4121465
1154,204.0,-230.6305998853339,-5.7992165
1164,204.0,-314.1592653589793,-7.5001245
1173,204.0,-226.33133033889624,-5.6672495000000005
1183,204.0,-314.1592653589793,-7.5001245
1193,204.0,-223.87460488378903,-5.5939345000000005
1204,204.0,-314.1592653589793,-7.5001245
1214,204.0,-220.18951670112818,-5.4619675
1223,204.0,-314.1592653589793,-7.5001245
1233,204.0,-215.27606579091378,-5.3006745
1244,204.0,-314.1592653589793,-7.5001245
1254,204.0,-213.43352169958337,-5.2420225
1264,204.0,-314.1592653589793,-7.5001245
1274,204.0,-210.36261488069934,-5.1980335
1285,204.0,-314.1592653589793,-7.5001245
1294,204.0,-204.8349826067081,-5.0367405000000005
1304,204.0,-314.1592653589793,-7.5001245
1314,204.0,-201.76407578782408,-4.9634255000000005
1325,204.0,-314.1592653589793,-7.5001245
1335,204.0,-199.92153169649367,-4.8607845
1345,204.0,-314.1592653589793,-7.5001245
1355,204.0,-198.69316896894003,-4.7581435
1364,204.0,-314.1592653589793,-7.5001245
1375,204.0,-197.46480624138644,-4.7288175
1385,204.0,-314.1592653589793,-7.5001245
1395,204.0,-197.46480624138644,-4.7141545
1405,204.0,-314.1592653589793,-7.5001245
1416,204.0,-197.46480624138644,-4.6848285
1426,204.0,-314.1592653589793,-7.5001245
1435,204.0,-198.69316896894003,-4.6848285
1445,204.0,-314.1592653589793,-7.5001245
1456,204.0,-199.30735033271685,-4.6701655
1466,204.0,-314.1592653589793,-7.5001245
1476,204.0,-202.37825715160088,-4.6848285
1486,204.0,-314.1592653589793,-7.5001245
1496,204.0,-201.76407578782408,-4.6848285
1506,204.0,-314.1592653589793,-7.5001245
1516,204.0,-203.6066198791545,-4.6848285
1526,204.0,-314.1592653589793,-7.5001245
1537,204.0,-206.0633453342617,-4.699491500000001
1547,204.0,-314.1592653589793,-7.5001245
1557,204.0,-207.29170806181534,-4.7434805
1566,204.0,-314.1592653589793,-7.5001245
1576,204.0,-209.74843351692252,-4.7581435
1587,204.0,-314.1592653589793,-7.5001245
1597,204.0,-210.9767962444761,-4.7874695
1607,204.0,-313.54508399520256,-7.5001245
1617,204.0,-212.8193403358066,-4.8021325
1628,204.0,-313.54508399520256,-7.5001245
1638,204.0,-213.43352169958337,-4.8167955000000005
1647,204.0,-312.9309026314257,-7.5001245
1657,204.0,-214.0477030633602,-4.8607845
1668,204.0,-311.70253990387204,-7.5001245
1678,204.0,-215.27606579091378,-4.8901105000000005
1688,204.0,-310.4741771763185,-7.5001245
1698,204.0,-216.50442851846742,-4.919436500000001
1709,204.0,-309.85999581254174,-7.5001245
1719,204.0,-217.1186098822442,-4.9487625
1728,204.0,-310.4741771763185,-7.5001245
1738,204.0,-218.3469726097978,-4.9780885
1748,204.0,-309.24581444876486,-7.4854615
1759,204.0,-218.96115397357462,-4.9780885
1769,204.0,-308.0174517212113,-7.4854615
1779,204.0,-219.57533533735142,-5.0220775
1788,204.0,-306.7890889936577,-7.441472500000001
1799,204.0,-220.803698064905,-5.0514035
1809,204.0,-306.7890889936577,-7.441472500000001
1819,204.0,-222.64624215623542,-5.0807295
1829,204.0,-305.56072626610404,-7.397483500000001
1840,204.0,-222.64624215623542,-5.0807295
1850,204.0,-303.71818217477363,-7.368157500000001
1859,204.0,-225.10296761134265,-5.1687075
1869,204.0,-303.71818217477363,-7.368157500000001
1880,204.0,-226.9455117026731,-5.2126965
1890,204.0,-303.71818217477363,-7.3388315
1900,204.0,-226.9455117026731,-5.1980335
1910,204.0,-302.48981944722004,-7.294842500000001
1920,204.0,-227.55969306644985,-5.2420225
1930,204.0,-302.48981944722004,-7.2801795
1940,204.0,-230.01641852155709,-5.2713485
1950,204.0,-300.0330939921128,-7.2361905
1960,204.0,-234.92986943177152,-5.3593265
1971,204.0,-300.0330939921128,-7.2215275000000005
1981,204.0,-232.4731439766643,-5.3446635
1990,204.0,-298.1905499007824,-7.2068645
2000,204.0,-245.3709526159772,-5.4912935
2011,204.0,-290.20619217168394,-7.0895605
2021,204.0,-251.51276625374524,-5.7112385
2031,204.0,-280.37929035125507,-6.884278500000001
2041,204.0,-266.25311898438855,-6.0191615
2052,204.0,-267.4814817119422,-6.620344500000001
2061,204.0,-277.308383532371,-6.3417475
2071,204.0,-256.4262171639597,-6.4297255
2081,204.0,-292.6629176267911,-6.7229855
2092,204.0,-251.51276625374524,-6.2977585000000005
2102,204.0,-300.64727535588963,-6.9429305
2112,204.0,-239.84332034198596,-6.0631505
2122,204.0,-308.6316330849881,-7.2655165
2132,204.0,-235.54405079554832,-5.9458465
2142,204.0,-311.70253990387204,-7.368157500000001
2152,204.0,-231.85896261288752,-5.8138795000000005
2162,204.0,-314.1592653589793,-7.5001245
2172,204.0,-228.1738744302267,-5.7259015
2183,204.0,-314.1592653589793,-7.5001245
2193,204.0,-220.803698064905,-5.5206195000000005
2203,204.0,-314.1592653589793,-7.5001245
2212,204.0,-218.96115397357462,-5.4326415
